"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Income-group heterogeneity FE","Lower income__gdp_growth__cyber_incidents_log","gdp_growth","Lower income","cyber_incidents_log","l1_inflation_cpi",0.00370988792751361,0.00470719739272175,0.435779240467439,"0.004","(0.005)","0.436",210
"Income-group heterogeneity FE","Lower income__gdp_growth__cyber_incidents_log","gdp_growth","Lower income","cyber_incidents_log","l1_trade_gdp",-0.000171163321027349,0.108584295222297,0.998750983954045,"-0.000","(0.109)","0.999",210
"Income-group heterogeneity FE","Lower income__gdp_growth__cyber_incidents_log","gdp_growth","Lower income","cyber_incidents_log","l1_population_total",2.67258310758752e-09,2.21536485487941e-08,0.904648178812776,"0.000","(0.000)","0.905",210
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall","gdp_growth","Lower income","gci_overall","l1_gci_overall",0.0412236082861993,0.0652815638622736,0.530052057411827,"0.041","(0.065)","0.530",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall","gdp_growth","Lower income","gci_overall","l1_inflation_cpi",0.00260189662458178,0.00599277924220231,0.665670805618722,"0.003","(0.006)","0.666",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall","gdp_growth","Lower income","gci_overall","l1_trade_gdp",0.00442729957269983,0.0352905158031146,0.900570875762055,"0.004","(0.035)","0.901",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall","gdp_growth","Lower income","gci_overall","l1_population_total",1.03074057176819e-09,1.66332900134288e-08,0.950787231073801,"0.000","(0.000)","0.951",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall_norm","gdp_growth","Lower income","gci_overall_norm","l1_gci_overall_norm",-0.351203291440131,7.02646172147557,0.960296652332471,"-0.351","(7.026)","0.960",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall_norm","gdp_growth","Lower income","gci_overall_norm","l1_inflation_cpi",0.00239721471479665,0.00584440671240527,0.683093381184548,"0.002","(0.006)","0.683",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall_norm","gdp_growth","Lower income","gci_overall_norm","l1_trade_gdp",0.0036513400997312,0.0365780055949122,0.920806626863898,"0.004","(0.037)","0.921",571
"Income-group heterogeneity FE","Lower income__gdp_growth__gci_overall_norm","gdp_growth","Lower income","gci_overall_norm","l1_population_total",-3.76056828601866e-09,1.33155757533693e-08,0.778563117519984,"-0.000","(0.000)","0.779",571
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Lower income","cyber_incidents_log","l1_cyber_incidents_log",190.442145234857,293.770711788768,0.52092537305366,"190.442","(293.771)","0.521",209
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Lower income","cyber_incidents_log","l1_inflation_cpi",-10.2553808301971,9.39297318030149,0.282168088423903,"-10.255","(9.393)","0.282",209
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Lower income","cyber_incidents_log","l1_trade_gdp",-8.63143949125959,18.8719366437484,0.650154140000578,"-8.631","(18.872)","0.650",209
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","Lower income","cyber_incidents_log","l1_population_total",2.83484891101977e-05,1.90053449643665e-05,0.144514137881231,"0.000","(0.000)","0.145",209
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Lower income","gci_overall","l1_gci_overall",14.7261246507238,22.9347979839955,0.523262759022678,"14.726","(22.935)","0.523",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Lower income","gci_overall","l1_inflation_cpi",-9.57109400720145,6.89685482994711,0.170346252912733,"-9.571","(6.897)","0.170",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Lower income","gci_overall","l1_trade_gdp",20.0469098337255,9.28531318348975,0.034859829744556,"20.047*","(9.285)","0.035",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall","gdp_per_person_employed","Lower income","gci_overall","l1_population_total",4.68832733957409e-05,1.47897559758617e-05,0.0024007330004871,"0.000**","(0.000)","0.002",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Lower income","gci_overall_norm","l1_gci_overall_norm",7640.0259657392,3356.57397700799,0.0264206497729647,"7640.026*","(3356.574)","0.026",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Lower income","gci_overall_norm","l1_inflation_cpi",-9.09878895069896,6.34663833642038,0.156866180448463,"-9.099","(6.347)","0.157",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Lower income","gci_overall_norm","l1_trade_gdp",21.5376502299084,8.95154396539229,0.0192248707740297,"21.538*","(8.952)","0.019",550
"Income-group heterogeneity FE","Lower income__gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed","Lower income","gci_overall_norm","l1_population_total",4.59613104556497e-05,1.29536061631676e-05,0.000760558958424479,"0.000***","(0.000)","0.001",550
"Income-group heterogeneity FE","Lower income__gcf_gdp__cyber_incidents_log","gcf_gdp","Lower income","cyber_incidents_log","l1_cyber_incidents_log",-0.118058941170403,0.809731474446992,0.884915670642474,"-0.118","(0.810)","0.885",201
"Income-group heterogeneity FE","Lower income__gcf_gdp__cyber_incidents_log","gcf_gdp","Lower income","cyber_incidents_log","l1_inflation_cpi",-0.0112175400568273,0.017633002686945,0.528805908023262,"-0.011","(0.018)","0.529",201
